canonical_symbol,yahoo_symbol,stooq_symbol,asset_type
SPY,SPY,spy.us,etf
QQQ,QQQ,qqq.us,etf
IWM,IWM,iwm.us,etf
DIA,DIA,dia.us,etf
TLT,TLT,tlt.us,etf
GLD,GLD,gld.us,etf
SLV,SLV,slv.us,etf
USO,USO,uso.us,etf
HYG,HYG,hyg.us,etf
LQD,LQD,lqd.us,etf
VNQ,VNQ,vnq.us,etf
EFA,EFA,efa.us,etf
EEM,EEM,eem.us,etf
VXX,VXX,vxx.us,etf
ARKK,ARKK,arkk.us,etf
XLK,XLK,xlk.us,etf
XLF,XLF,xlf.us,etf
XLV,XLV,xlv.us,etf
XLE,XLE,xle.us,etf
XLI,XLI,xli.us,etf
XLP,XLP,xlp.us,etf
XLU,XLU,xlu.us,etf
XLY,XLY,xly.us,etf
XLB,XLB,xlb.us,etf
XLRE,XLRE,xlre.us,etf
AAPL,AAPL,aapl.us,stock
MSFT,MSFT,msft.us,stock
AMZN,AMZN,amzn.us,stock
NVDA,NVDA,nvda.us,stock
GOOGL,GOOGL,googl.us,stock
META,META,meta.us,stock
TSLA,TSLA,tsla.us,stock
JPM,JPM,jpm.us,stock
BAC,BAC,bac.us,stock
GS,GS,gs.us,stock
COST,COST,cost.us,stock
LLY,LLY,lly.us,stock
AVGO,AVGO,avgo.us,stock
AMD,AMD,amd.us,stock
NFLX,NFLX,nflx.us,stock
BRK-B,BRK-B,brk.b.us,stock
SPX,^GSPC,^spx,index
VIX,^VIX,^vix,index
